multipolarity,n,n_engaged,engaged_rate,engaged_accuracy,accuracy,error_rate,macro_f1,neg_multi_total,neg_multi_engaged,neg_multi_correct
0.3,498,0,0.0,0.0,0.5903614457831325,0.40963855421686746,0.5560192413791679,0,0,0
0.35,498,1,0.002008032128514056,1.0,0.5903614457831325,0.40963855421686746,0.5560192413791679,0,0,0
0.4,498,5,0.010040160642570281,0.8,0.5963855421686747,0.4036144578313253,0.5620378792921114,0,0,0
0.45,498,16,0.0321285140562249,0.4375,0.5923694779116466,0.4076305220883534,0.556094347563903,0,0,0
0.5,498,39,0.0783132530120482,0.41025641025641024,0.5923694779116466,0.4076305220883534,0.5541648346763817,0,0,0
0.55,498,69,0.13855421686746988,0.3623188405797102,0.5883534136546185,0.41164658634538154,0.5503824785484174,0,0,0
0.6,498,99,0.19879518072289157,0.41414141414141414,0.5943775100401606,0.4056224899598394,0.5645549862995768,0,0,0
