low_conf,n,n_flagged,flagged_rate,accuracy,error_rate,macro_f1,flagged_error_rate,unflagged_error_rate,unflagged_n
0.4,498,1,0.002008032128514056,0.5923694779116466,0.4076305220883534,0.5559895803215834,0.0,0.4084507042253521,497
0.5,498,25,0.050200803212851405,0.5923694779116466,0.4076305220883534,0.5559895803215834,0.6,0.39746300211416485,473
0.6,498,88,0.17670682730923695,0.5923694779116466,0.4076305220883534,0.556094347563903,0.6022727272727273,0.36585365853658536,410
0.7,498,138,0.27710843373493976,0.5903614457831325,0.40963855421686746,0.5545713815230952,0.5942028985507246,0.3388888888888889,360
0.8,498,209,0.41967871485943775,0.5923694779116466,0.4076305220883534,0.5575094730517979,0.5263157894736843,0.32179930795847755,289
0.9,498,319,0.6405622489959839,0.5943775100401606,0.4056224899598394,0.5622127404920396,0.48589341692789967,0.26256983240223464,179
