multipolarity,n,n_engaged,engaged_rate,engaged_accuracy,accuracy,error_rate,macro_f1,neg_multi_total,neg_multi_engaged,neg_multi_correct
0.3,45,0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.4650459396222108,10,0,2
0.35,45,0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.4650459396222108,10,0,2
0.4,45,0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.4650459396222108,10,0,2
0.45,45,2,0.044444444444444446,0.5,0.5555555555555556,0.4444444444444444,0.40807962529274006,10,1,3
0.5,45,5,0.1111111111111111,0.8,0.5555555555555556,0.4444444444444444,0.40807962529274006,10,1,3
0.55,45,10,0.2222222222222222,0.6,0.5777777777777777,0.4222222222222223,0.41900858704137395,10,1,3
0.6,45,14,0.3111111111111111,0.6428571428571429,0.6,0.4,0.4319827346143135,10,3,4
